model_id,architecture_family,total_params_billions,activated_params_billions,weight_precision,precision_bits,param_count_total,param_count_active,model_type,architecture_class,num_layers,hidden_size,intermediate_size,num_attention_heads,num_key_value_heads,vocab_size,context_length,sliding_window,moe_intermediate_size,shared_expert_count,shared_expert_intermediate_size,qk_nope_head_dim,qk_rope_head_dim,v_head_dim,mamba_head_dim,mamba_num_heads,mamba_state_size,expert_count,active_expert_count,head_dim,dense_layer_count,moe_layer_count,hybrid_pattern,hybrid_mamba_layer_count,hybrid_attention_layer_count,hybrid_mlp_layer_count,attention_variant,mlp_structure,quant_method_config,runtime_dtype_config,runtime_dtype_bits,config_status,restricted_feature_reason,config_revision,config_sha256,resolved_config_status
Qwen/Qwen3-14B,dense_transformer,14.0,14.0,bfloat16,16,14000000000.0,14000000000.0,qwen3,Qwen3ForCausalLM,40.0,5120.0,17408.0,40.0,8.0,151936.0,40960.0,,,,,,,,,,,,,128.0,40.0,0.0,,,,,gqa,gated,,bfloat16,16.0,available,,40c069824f4251a91eefaf281ebe4c544efd3e18,e73c3664ca09b10a673fef0c22e8a6b456201d49bd4713c9691f775720e8857a,available
Qwen/Qwen3-235B-A22B-Instruct-2507,mixture_of_experts,235.0,22.0,bfloat16,16,235000000000.0,22000000000.0,qwen3_moe,Qwen3MoeForCausalLM,94.0,4096.0,12288.0,64.0,4.0,151936.0,262144.0,,1536.0,,,,,,,,,128.0,8.0,128.0,0.0,94.0,,,,,gqa,gated,,bfloat16,16.0,available,,ac9c66cc9b46af7306746a9250f23d47083d689e,ad59a339665ee1c68cbff06ac72c9e59f5183ebfaf3698c98737e003a870e9e2,available
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,mixture_of_experts,235.0,22.0,fp8,8,235000000000.0,22000000000.0,qwen3_moe,Qwen3MoeForCausalLM,94.0,4096.0,12288.0,64.0,4.0,151936.0,262144.0,,1536.0,,,,,,,,,128.0,8.0,128.0,0.0,94.0,,,,,gqa,gated,fp8,bfloat16,16.0,available,,e156cb4efae43fbee1a1ab073f946a1377e6b969,f056921e486d3e22aed125b5218b87146ea2ac838ccf1521dea5b08f809e8d59,available
Qwen/Qwen3-235B-A22B-Thinking-2507,mixture_of_experts,235.0,22.0,bfloat16,16,235000000000.0,22000000000.0,qwen3_moe,Qwen3MoeForCausalLM,94.0,4096.0,12288.0,64.0,4.0,151936.0,262144.0,,1536.0,,,,,,,,,128.0,8.0,128.0,0.0,94.0,,,,,gqa,gated,,bfloat16,16.0,available,,6cbffae6d8e28b986a6b17bd36f42f9fa0f1f0a5,ad59a339665ee1c68cbff06ac72c9e59f5183ebfaf3698c98737e003a870e9e2,available
Qwen/Qwen3-235B-A22B-Thinking-2507-FP8,mixture_of_experts,235.0,22.0,fp8,8,235000000000.0,22000000000.0,qwen3_moe,Qwen3MoeForCausalLM,94.0,4096.0,12288.0,64.0,4.0,151936.0,262144.0,,1536.0,,,,,,,,,128.0,8.0,128.0,0.0,94.0,,,,,gqa,gated,fp8,bfloat16,16.0,available,,f07f63f2bbd7540917118ebdf3812696ef303b03,f056921e486d3e22aed125b5218b87146ea2ac838ccf1521dea5b08f809e8d59,available
Qwen/Qwen3-30B-A3B-Instruct-2507,mixture_of_experts,30.0,3.0,bfloat16,16,30000000000.0,3000000000.0,qwen3_moe,Qwen3MoeForCausalLM,48.0,2048.0,6144.0,32.0,4.0,151936.0,262144.0,,768.0,,,,,,,,,128.0,8.0,128.0,0.0,48.0,,,,,gqa,gated,,bfloat16,16.0,available,,0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe,a1ee086a68d0cbfc87316da00ba4b8507bd1292978108e2496201a30a450f438,available
Qwen/Qwen3-30B-A3B-Thinking-2507,mixture_of_experts,30.0,3.0,bfloat16,16,30000000000.0,3000000000.0,qwen3_moe,Qwen3MoeForCausalLM,48.0,2048.0,6144.0,32.0,4.0,151936.0,262144.0,,768.0,,,,,,,,,128.0,8.0,128.0,0.0,48.0,,,,,gqa,gated,,bfloat16,16.0,available,,144afc2f379b542fdd4e85a1fcd5e1f79112d95d,a1ee086a68d0cbfc87316da00ba4b8507bd1292978108e2496201a30a450f438,available
Qwen/Qwen3-32B,dense_transformer,32.0,32.0,bfloat16,16,32000000000.0,32000000000.0,qwen3,Qwen3ForCausalLM,64.0,5120.0,25600.0,64.0,8.0,151936.0,40960.0,,,,,,,,,,,,,128.0,64.0,0.0,,,,,gqa,gated,,bfloat16,16.0,available,,9216db5781bf21249d130ec9da846c4624c16137,97e295b63283935788fac5e4f8860862a56d4089538cafc93f0431f2ebe483bb,available
Qwen/Qwen3-8B,dense_transformer,8.0,8.0,bfloat16,16,8000000000.0,8000000000.0,qwen3,Qwen3ForCausalLM,36.0,4096.0,12288.0,32.0,8.0,151936.0,40960.0,,,,,,,,,,,,,128.0,36.0,0.0,,,,,gqa,gated,,bfloat16,16.0,available,,b968826d9c46dd6066d109eabc6255188de91218,f7c4eadfbbf522470667b797a3c89be2524832d2d599797248dc304fff447c30,available
Qwen/Qwen3-Coder-30B-A3B-Instruct,mixture_of_experts,30.0,3.0,bfloat16,16,30000000000.0,3000000000.0,qwen3_moe,Qwen3MoeForCausalLM,48.0,2048.0,6144.0,32.0,4.0,151936.0,262144.0,,768.0,,,,,,,,,128.0,8.0,128.0,0.0,48.0,,,,,gqa,gated,,bfloat16,16.0,available,,b2cff646eb4bb1d68355c01b18ae02e7cf42d120,e2c8d8eea39471785cd93379d8b48241ad7dcda299013155dd02526e34a0de62,available
