model_id,canonical_field,source_field,raw_value,transform,status,reason
Qwen/Qwen3-14B,architecture_family,benchmark.architecture,"""Dense Transformer""",benchmark architecture taxonomy,available,
Qwen/Qwen3-14B,total_params_billions,benchmark.total_params_billions,14.0,identity,available,
Qwen/Qwen3-14B,activated_params_billions,benchmark.activated_params_billions,14.0,identity,available,
Qwen/Qwen3-14B,weight_precision,benchmark.weight_precision,"""bfloat16""",identity,available,
Qwen/Qwen3-14B,precision_bits,benchmark.weight_precision,"""bfloat16""",precision label to bits,available,
Qwen/Qwen3-14B,param_count_total,benchmark.total_params_billions,14.0,billions * 1e9,available,
Qwen/Qwen3-14B,param_count_active,benchmark.activated_params_billions,14.0,billions * 1e9,available,
Qwen/Qwen3-14B,model_type,config.model_type,"""qwen3""",identity,available,
Qwen/Qwen3-14B,architecture_class,config.architectures[0],"""Qwen3ForCausalLM""",identity,available,
Qwen/Qwen3-14B,num_layers,config.num_hidden_layers,40,identity,available,
Qwen/Qwen3-14B,hidden_size,config.hidden_size,5120,identity,available,
Qwen/Qwen3-14B,intermediate_size,config.intermediate_size,17408,identity,available,
Qwen/Qwen3-14B,num_attention_heads,config.num_attention_heads,40,identity,available,
Qwen/Qwen3-14B,num_key_value_heads,config.num_key_value_heads,8,identity,available,
Qwen/Qwen3-14B,vocab_size,config.vocab_size,151936,identity,available,
Qwen/Qwen3-14B,context_length,config.max_position_embeddings,40960,identity,available,
Qwen/Qwen3-14B,sliding_window,config.sliding_window,,identity,missing,source field absent
Qwen/Qwen3-14B,moe_intermediate_size,,,identity,missing,source field absent
Qwen/Qwen3-14B,shared_expert_count,,,identity,missing,source field absent
Qwen/Qwen3-14B,shared_expert_intermediate_size,,,identity,missing,source field absent
Qwen/Qwen3-14B,qk_nope_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-14B,qk_rope_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-14B,v_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-14B,mamba_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-14B,mamba_num_heads,,,identity,missing,source field absent
Qwen/Qwen3-14B,mamba_state_size,,,identity,missing,no Mamba state-size field
Qwen/Qwen3-14B,expert_count,,,identity,missing,no expert-count field
Qwen/Qwen3-14B,active_expert_count,,,identity,missing,no active-expert field
Qwen/Qwen3-14B,head_dim,config.head_dim,128,identity,available,
Qwen/Qwen3-14B,dense_layer_count,benchmark.architecture + config.num_hidden_layers,"{""architecture"": ""Dense Transformer"", ""num_hidden_layers"": 40}",architecture-specific layer split,available,
Qwen/Qwen3-14B,moe_layer_count,benchmark.architecture + config.num_hidden_layers,"{""architecture"": ""Dense Transformer"", ""num_hidden_layers"": 40}",architecture-specific layer split,available,
Qwen/Qwen3-14B,hybrid_pattern,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-14B,hybrid_mamba_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-14B,hybrid_attention_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-14B,hybrid_mlp_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-14B,attention_variant,config.model_type + attention head fields,"{""model_type"": ""qwen3"", ""num_attention_heads"": 40, ""num_key_value_heads"": 8}",architecture rule,available,
Qwen/Qwen3-14B,mlp_structure,config.model_type,"""qwen3""",declarative architecture rule,available,
Qwen/Qwen3-14B,quant_method_config,,,identity,missing,config has no quantization method
Qwen/Qwen3-14B,runtime_dtype_config,config.torch_dtype,"""bfloat16""",identity,available,
Qwen/Qwen3-14B,runtime_dtype_bits,config.torch_dtype,"""bfloat16""",dtype label to bits,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,architecture_family,benchmark.architecture,"""MoE""",benchmark architecture taxonomy,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,total_params_billions,benchmark.total_params_billions,235.0,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,activated_params_billions,benchmark.activated_params_billions,22.0,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,weight_precision,benchmark.weight_precision,"""bfloat16""",identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,precision_bits,benchmark.weight_precision,"""bfloat16""",precision label to bits,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,param_count_total,benchmark.total_params_billions,235.0,billions * 1e9,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,param_count_active,benchmark.activated_params_billions,22.0,billions * 1e9,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,model_type,config.model_type,"""qwen3_moe""",identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,architecture_class,config.architectures[0],"""Qwen3MoeForCausalLM""",identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,num_layers,config.num_hidden_layers,94,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,hidden_size,config.hidden_size,4096,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,intermediate_size,config.intermediate_size,12288,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,num_attention_heads,config.num_attention_heads,64,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,num_key_value_heads,config.num_key_value_heads,4,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,vocab_size,config.vocab_size,151936,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,context_length,config.max_position_embeddings,262144,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,sliding_window,config.sliding_window,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,moe_intermediate_size,config.moe_intermediate_size,1536,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,shared_expert_count,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,shared_expert_intermediate_size,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,qk_nope_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,qk_rope_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,v_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,mamba_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,mamba_num_heads,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,mamba_state_size,,,identity,missing,no Mamba state-size field
Qwen/Qwen3-235B-A22B-Instruct-2507,expert_count,config.num_experts,128,identity,available,
